Year;ODS;Indicador;Descripción;CA;Value
2011;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;CATALUÑA;46,33148542
2012;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;CATALUÑA;44,92299783
2014;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;CATALUÑA;46,33148542
2017;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;CATALUÑA;44,92299783
2010;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;CATALUÑA;30,12488194
2011;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;CATALUÑA;38,8150012
2012;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;CATALUÑA;45,95553624
2014;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;CATALUÑA;38,8150012
2017;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;CATALUÑA;45,95553624
2010;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;CATALUÑA;26,24188683
2014;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;CATALUÑA;24,53098082
2017;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;CATALUÑA;24,81960225
2010;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;CATALUÑA;26,96319571
2011;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;CATALUÑA;18,66167913
2012;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;CATALUÑA;26,55340447
2014;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;CATALUÑA;26,84720344
2017;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;CATALUÑA;26,55340447
2010;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;CATALUÑA;24,47854589
2014;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;CATALUÑA;18,57988846
2017;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;CATALUÑA;18,77941511
2010;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;18,59391684
2011;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;19,76997791
2012;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;23,18899862
2013;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;23,74222985
2014;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;20,63969379
2015;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;17,84152769
2016;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;14,61365151
2017;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;12,51751678
2018;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;10,94602263
2019;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;CATALUÑA;10,5902798
2010;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;16,50878959
2011;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;18,43291444
2012;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;21,72479446
2013;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;22,41869807
2014;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;19,97854508
2015;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;19,44429846
2016;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;16,93065717
2017;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;14,3960392
2018;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;12,09330198
2019;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;CATALUÑA;11,50676096
2010;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;20,78008053
2011;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;19,73007998
2012;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;19,93895313
2013;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;20,66692926
2014;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;18,4113406
2015;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;16,12719109
2016;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;15,11281921
2017;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;13,6768119
2018;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;13,07196883
2019;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;CATALUÑA;13,58023252
2017;Trabajo decente y crecimiento económico;8.9.1.1;Tasa de crecimiento del PIB generado por el turismo;CATALUÑA;8,483063378
2018;Trabajo decente y crecimiento económico;8.9.1.1;Tasa de crecimiento del PIB generado por el turismo;CATALUÑA;9,184272415
2016;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;CATALUÑA;11,11158142
2017;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;CATALUÑA;11,57878349
2018;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;CATALUÑA;12,24168263
2010;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;17,96369141
2011;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;17,1362578
2012;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;17,2625248
2013;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;16,88514597
2014;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;17,02993934
2015;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;17,44370917
2016;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;17,1662677
2017;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;16,83803848
2018;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;16,97948493
2019;Industria, tinnovación e infraestructura;9.2.2.1;;CATALUÑA;16,66897318
2010;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,200339156
2011;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,190153799
2012;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,183281026
2013;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,172717264
2014;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,173558394
2015;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,17164273
2016;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,171754102
2017;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,17293246
2018;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;CATALUÑA;0,169439294
2010;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,489222118
2011;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,467573641
2012;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,47260399
2013;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,417263273
2014;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,420791803
2015;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,420822111
2016;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,415439789
2017;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,41998593
2018;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;CATALUÑA;0,411923006
2010;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,90708226
2011;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,91097737
2012;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,92362693
2013;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,90181011
2014;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,92161781
2015;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,87851441
2016;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,90832471
2017;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,90253857
2018;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CATALUÑA ;99,90079365
2010;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;0,936172182
2011;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;0,759592453
2012;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,120542492
2013;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,101621345
2014;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,310881492
2015;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,500787508
2016;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,078683488
2017;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,556969445
2010;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;0,936172182
2010;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;0,936172182
2011;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;0,759592453
2011;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;0,759592453
2012;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,120542492
2012;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,120542492
2013;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,101621345
2013;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,101621345
2014;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,310881492
2014;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,310881492
2015;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,500787508
2015;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,500787508
2016;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,078683488
2016;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,078683488
2017;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,556969445
2017;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;CATALUÑA ;1,556969445
2010;Acción por el clima;13.1.2.1;;CATALUÑA ;0,936172182
2010;Acción por el clima;13.1.2.1;;CATALUÑA ;0,936172182
2011;Acción por el clima;13.1.2.1;;CATALUÑA ;0,759592453
2011;Acción por el clima;13.1.2.1;;CATALUÑA ;0,759592453
2012;Acción por el clima;13.1.2.1;;CATALUÑA ;1,120542492
2012;Acción por el clima;13.1.2.1;;CATALUÑA ;1,120542492
2013;Acción por el clima;13.1.2.1;;CATALUÑA ;1,101621345
2013;Acción por el clima;13.1.2.1;;CATALUÑA ;1,101621345
2014;Acción por el clima;13.1.2.1;;CATALUÑA ;1,310881492
2014;Acción por el clima;13.1.2.1;;CATALUÑA ;1,310881492
2015;Acción por el clima;13.1.2.1;;CATALUÑA ;1,500787508
2015;Acción por el clima;13.1.2.1;;CATALUÑA ;1,500787508
2016;Acción por el clima;13.1.2.1;;CATALUÑA ;1,078683488
2016;Acción por el clima;13.1.2.1;;CATALUÑA ;1,078683488
2017;Acción por el clima;13.1.2.1;;CATALUÑA ;1,556969445
2017;Acción por el clima;13.1.2.1;;CATALUÑA ;1,556969445
2010;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;4,74
2011;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;1,23
2012;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;0
2013;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;5,59
2014;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;1,4
2015;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;5,68
2016;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;
2017;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;5,99
2018;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;CATALUÑA ;0
2010;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;3,3
2011;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;3,51
2012;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;3,6
2013;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;3,17
2014;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;3,32
2015;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;2,84
2016;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;3,02
2017;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;2,92
2018;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;CATALUÑA ;2,94
2010;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,94
2011;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,82
2012;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;2,03
2013;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,79
2014;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,75
2015;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,63
2016;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,6
2017;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,72
2018;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;CATALUÑA ;1,64
2010;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;228,52
2011;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;223,97
2012;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;240,57
2013;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;228,73
2014;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;228,78
2015;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;242,38
2016;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;227,95
2017;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;234,42
2018;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;CATALUÑA ;230,64
2010;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;42,23
2011;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;44,14
2012;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;49,44
2013;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;47,99
2014;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;49,46
2015;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;51,89
2016;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;48,86
2017;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;52,55
2018;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;CATALUÑA ;47,75
2010;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;22,78
2011;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;21,3
2012;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;18,58
2013;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;18,03
2014;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;16,11
2015;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;16,59
2016;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;21,1
2017;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;23,13
2018;Salud y bienestar;3.4.1.3;Tasa de mortalidad atribuida a la diabetes;CATALUÑA ;22,56
2010;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;221,23
2011;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;221,43
2012;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;220,87
2013;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;225,87
2014;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;223,92
2015;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;226,21
2016;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;227,98
2017;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;225,87
2018;Salud y bienestar;3.4.1.4;Tasa de mortalidad atribuida al cáncer;CATALUÑA ;225,01
2010;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;5,59
2011;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;6,37
2012;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;7,02
2013;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;7,31
2014;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;7,18
2015;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;6,69
2016;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;6,88
2017;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;6,76
2018;Salud y bienestar;3.4.2.1;Tasa de mortalidad por suicidio;CATALUÑA ;6,95
2010;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,95
2011;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,98
2012;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;4,15
2013;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,59
2014;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,65
2015;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,91
2016;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,53
2017;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;3,91
2018;Salud y bienestar;3.6.1.1;Tasa de mortalidad por lesiones debidas a accidentes de tráfico;CATALUÑA ;4,52
2010;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,14
2011;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,15
2012;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,17
2013;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,08
2014;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,07
2015;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,05
2016;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,06
2017;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,06
2018;Salud y bienestar;3.7.2.1;Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;0,05
2010;Salud y bienestar;3.7.2.2;Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;9,92
2011;Salud y bienestar;3.7.2.2;Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;8,94
2012;Salud y bienestar;3.7.2.2;Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad;CATALUÑA ;8,12
